month,week,day,hour,DotW,WR
1,2,12,14,4,150
1,2,12,15,4,172
1,2,12,16,4,168
1,2,12,17,4,166
1,2,12,18,4,159
1,2,12,19,4,150
1,2,12,20,4,136
1,2,12,21,4,144
1,2,12,22,4,110
1,2,12,23,4,0
1,2,12,0,6,0
1,2,12,1,6,0
1,2,12,2,6,0
1,2,12,3,6,0
1,2,12,4,6,0
1,2,12,5,6,0
1,2,12,6,6,0
1,2,12,7,6,0
1,2,12,8,6,0
1,2,12,9,6,21
1,2,12,10,6,56
1,2,12,11,6,81
1,2,12,12,6,84
1,2,12,13,6,85
1,2,12,15,6,99
1,2,12,16,6,100
1,2,12,17,6,120
1,2,12,18,6,100
1,2,12,19,6,94
1,2,12,20,6,0
1,2,12,21,6,0
1,2,12,22,6,0
1,2,12,23,6,0
1,2,12,0,7,0
1,2,12,1,7,0
1,2,12,2,7,0
1,2,12,3,7,0
1,2,12,4,7,0
1,2,12,5,7,0
1,2,12,6,7,0
1,2,12,7,7,0
1,2,12,8,7,3
1,2,12,9,7,24
1,2,12,10,7,48
1,2,12,11,7,60
1,2,12,12,7,74
1,2,12,13,7,65
1,2,12,14,7,70
1,2,12,15,7,78
1,2,12,16,7,95
1,2,12,17,7,97
1,2,12,18,7,88
1,2,12,19,7,84
1,2,12,20,7,87
1,2,12,21,7,91
1,2,12,22,7,56
1,2,12,23,7,15
1,2,13,0,3,0
1,2,13,1,3,0
1,2,13,2,3,0
1,2,13,3,3,0
1,2,13,4,3,0
1,2,13,5,3,0
1,2,13,6,3,15
1,2,13,7,3,53
1,2,13,8,3,57
1,2,13,9,3,60
1,2,13,10,3,98
1,2,13,11,3,93
1,2,13,12,3,121
1,2,13,13,3,98
1,2,13,14,3,92
1,2,13,15,3,136
1,2,13,16,3,126
1,2,13,17,3,164
1,2,13,18,3,176
1,2,13,19,3,127
1,2,13,20,3,132
1,2,13,21,3,157
1,2,13,22,3,108
1,2,13,23,3,67
1,2,13,0,5,0
1,2,13,1,5,0
1,2,13,2,5,0
1,2,13,3,5,0
1,2,13,4,5,0
1,2,13,5,5,0
1,2,13,6,5,13
1,2,13,7,5,63
1,2,13,8,5,74
1,2,13,9,5,94
1,2,13,10,5,98
1,2,13,11,5,114
1,2,13,12,5,123
1,2,13,13,5,130
1,2,13,14,5,135
1,2,13,15,5,169
1,2,13,16,5,187
1,2,13,17,5,224
1,2,13,18,5,205
1,2,13,19,5,202
1,2,13,20,5,0
1,2,13,21,5,0
1,2,13,22,5,0
1,2,13,23,5,0
1,3,14,0,1,0
1,3,14,1,1,0
1,3,14,2,1,0
